frame_idx,count_ball,count_player,count_goalkeeper,count_referee,mean_player_speed_kmh,ball_observed,ball_interpolated
369,0,24,0,0,nan,0,0
370,0,23,0,0,nan,0,0
371,1,24,0,0,nan,1,0
372,1,24,0,0,nan,1,0
373,1,23,0,0,nan,1,0
374,1,24,0,0,nan,1,0
375,0,23,0,0,nan,0,0
376,1,24,0,0,nan,1,0
377,1,25,0,0,nan,1,0
378,1,25,0,0,nan,1,0
379,0,25,0,0,nan,0,0
380,0,25,0,0,nan,0,0
381,0,24,0,0,nan,0,0
382,0,25,0,0,nan,0,0
383,0,24,0,0,nan,0,0
384,0,25,0,0,nan,0,0
385,0,24,0,0,nan,0,0
386,0,25,0,0,nan,0,0
387,1,23,0,0,nan,1,0
388,0,24,0,0,nan,0,0
389,0,23,0,0,nan,0,0
390,0,23,0,0,nan,0,0
391,0,23,0,0,nan,0,0
392,0,24,0,0,nan,0,0
393,1,22,0,0,nan,1,0
394,1,23,0,0,nan,1,0
395,0,23,0,0,nan,0,0
396,1,23,0,0,nan,1,0
397,0,23,0,0,nan,0,0
398,1,23,0,0,nan,1,0
399,1,23,0,0,nan,1,0
400,1,23,0,0,nan,1,0
401,1,24,0,0,nan,1,0
402,1,24,0,0,nan,1,0
403,1,24,0,0,nan,1,0
404,1,23,0,0,nan,1,0
405,1,23,0,0,nan,1,0
406,1,24,0,0,nan,1,0
407,0,24,0,0,nan,0,0
408,0,25,0,0,nan,0,0
409,0,25,0,0,nan,0,0
410,0,25,0,0,nan,0,0
411,1,26,0,0,nan,1,0
412,1,26,0,0,nan,1,0
413,1,27,0,0,nan,1,0
414,1,28,0,0,nan,1,0
415,1,27,0,0,nan,1,0
416,1,27,0,0,nan,1,0
417,1,27,0,0,nan,1,0
418,1,27,0,0,nan,1,0
419,0,27,0,0,nan,0,0
420,0,27,0,0,nan,0,0
421,0,26,0,0,nan,0,0
422,0,27,0,0,nan,0,0
423,0,27,0,0,nan,0,0
424,1,26,0,0,nan,1,0
425,1,25,0,0,nan,1,0
426,1,24,0,0,nan,1,0
427,1,23,0,0,nan,1,0
