frame_idx,count_ball,count_player,count_goalkeeper,count_referee,mean_player_speed_kmh,ball_observed,ball_interpolated
130,1,20,0,1,nan,1,0
131,1,19,0,2,nan,1,0
132,1,20,0,2,nan,1,0
133,1,20,0,2,nan,1,0
134,1,20,0,2,nan,1,0
135,1,20,0,2,nan,1,0
136,1,21,0,1,nan,1,0
137,1,20,0,2,nan,1,0
138,1,21,0,1,nan,1,0
139,1,20,0,1,nan,1,0
140,1,20,0,1,nan,1,0
141,1,20,0,2,nan,1,0
142,1,21,0,2,nan,1,0
143,1,21,0,2,nan,1,0
144,1,21,0,2,nan,1,0
145,1,21,0,2,nan,1,0
146,1,21,0,2,nan,1,0
147,1,21,0,2,nan,1,0
148,1,21,0,2,nan,1,0
149,1,21,0,2,nan,1,0
150,1,21,0,2,nan,1,0
151,1,21,0,2,nan,1,0
152,1,21,0,2,nan,1,0
153,1,21,0,2,nan,1,0
154,1,22,0,2,nan,1,0
155,1,21,0,2,nan,1,0
156,1,21,0,2,nan,1,0
157,1,21,0,3,nan,1,0
158,1,21,0,3,nan,1,0
159,1,21,0,3,nan,1,0
160,1,21,0,3,nan,1,0
161,1,21,0,3,nan,1,0
162,1,21,0,3,nan,1,0
163,1,21,0,3,nan,1,0
164,1,21,0,3,nan,1,0
165,1,21,0,3,nan,1,0
166,1,21,0,3,nan,1,0
167,1,21,0,3,nan,1,0
168,1,21,0,3,nan,1,0
169,1,21,0,3,nan,1,0
170,1,21,0,3,nan,1,0
171,1,21,0,3,nan,1,0
172,1,21,0,3,nan,1,0
173,1,21,0,3,nan,1,0
174,1,21,0,3,nan,1,0
175,1,21,0,3,nan,1,0
176,1,21,0,3,nan,1,0
177,1,21,0,3,nan,1,0
178,1,21,0,3,nan,1,0
179,1,21,0,3,nan,1,0
180,1,21,0,3,nan,1,0
181,1,21,0,3,nan,1,0
182,1,21,0,3,nan,1,0
183,1,21,0,3,nan,1,0
184,1,21,0,3,nan,1,0
185,1,21,0,3,nan,1,0
186,1,21,0,3,nan,1,0
187,1,21,0,3,nan,1,0
188,1,21,0,3,nan,1,0
189,1,22,0,2,nan,1,0
190,1,22,0,3,nan,1,0
191,1,21,0,4,nan,1,0
192,1,21,0,3,nan,1,0
193,1,20,0,3,nan,1,0
194,1,21,0,3,nan,1,0
195,1,21,0,3,nan,1,0
196,1,21,0,3,nan,1,0
197,1,21,0,3,nan,1,0
198,1,21,0,3,nan,1,0
199,1,21,0,3,nan,1,0
200,1,21,0,3,nan,1,0
201,1,21,0,3,nan,1,0
202,1,21,0,3,nan,1,0
203,1,20,0,3,nan,1,0
204,1,20,0,3,nan,1,0
205,1,20,0,3,nan,1,0
206,1,20,0,3,nan,1,0
207,1,20,0,3,nan,1,0
208,1,20,0,3,nan,1,0
209,1,21,0,3,nan,1,0
210,1,20,0,3,nan,1,0
211,1,21,0,3,nan,1,0
212,1,21,0,3,nan,1,0
213,1,21,0,3,nan,1,0
214,1,21,0,2,nan,1,0
215,1,20,0,3,nan,1,0
216,1,20,0,3,nan,1,0
217,1,20,0,3,nan,1,0
218,1,21,0,2,nan,1,0
219,1,21,0,2,nan,1,0
220,1,21,0,2,nan,1,0
221,1,21,0,2,nan,1,0
222,0,20,0,3,nan,0,0
223,1,20,0,3,nan,1,0
224,1,20,0,3,nan,1,0
225,1,21,0,2,nan,1,0
226,1,20,0,3,nan,1,0
227,1,20,0,3,nan,1,0
228,1,20,0,3,nan,1,0
229,1,20,0,3,nan,1,0
230,1,19,0,3,nan,1,0
231,1,19,0,3,nan,1,0
232,1,19,0,3,nan,1,0
233,1,19,0,3,nan,1,0
234,1,19,0,4,nan,1,0
235,1,19,0,3,nan,1,0
236,1,20,0,2,nan,1,0
237,1,20,0,3,nan,1,0
238,1,19,0,3,nan,1,0
239,1,19,0,3,nan,1,0
240,1,19,0,3,nan,1,0
241,1,19,0,3,nan,1,0
242,1,19,0,3,nan,1,0
243,1,19,0,3,nan,1,0
244,1,19,0,3,nan,1,0
245,1,20,0,3,nan,1,0
246,1,20,0,3,nan,1,0
247,1,20,0,3,nan,1,0
248,1,20,0,3,nan,1,0
249,1,20,0,4,nan,1,0
250,1,20,0,4,nan,1,0
251,1,21,0,4,nan,1,0
252,1,21,0,3,nan,1,0
253,1,21,0,3,nan,1,0
254,1,20,0,3,nan,1,0
255,1,21,0,3,nan,1,0
256,1,20,0,3,nan,1,0
257,1,19,0,3,nan,1,0
258,1,20,0,3,nan,1,0
259,1,20,0,3,nan,1,0
260,1,21,0,3,nan,1,0
261,1,21,0,3,nan,1,0
262,1,21,0,3,nan,1,0
263,1,20,0,3,nan,1,0
264,1,19,0,3,nan,1,0
265,1,19,0,3,nan,1,0
266,1,19,0,3,nan,1,0
267,1,19,0,3,nan,1,0
268,1,19,0,3,nan,1,0
269,1,19,0,3,nan,1,0
270,1,20,0,3,nan,1,0
271,1,20,0,3,nan,1,0
272,1,20,0,3,nan,1,0
273,1,19,0,3,nan,1,0
274,1,19,0,3,nan,1,0
275,1,20,0,3,nan,1,0
276,1,21,0,2,nan,1,0
277,1,21,0,2,nan,1,0
278,1,21,0,2,nan,1,0
279,1,21,0,2,nan,1,0
280,1,20,0,3,nan,1,0
281,1,20,0,3,nan,1,0
282,1,20,0,3,nan,1,0
283,1,20,0,3,nan,1,0
284,1,20,0,3,nan,1,0
285,1,21,0,3,nan,1,0
286,1,20,0,3,nan,1,0
287,1,20,0,3,nan,1,0
288,1,18,0,3,nan,1,0
289,1,18,0,3,nan,1,0
290,1,18,0,3,nan,1,0
291,1,19,0,3,nan,1,0
292,1,19,0,3,nan,1,0
293,1,19,0,3,nan,1,0
294,1,20,0,3,nan,1,0
295,1,20,0,3,nan,1,0
296,1,19,0,3,nan,1,0
297,1,20,0,3,nan,1,0
298,0,20,0,3,nan,0,0
299,1,20,0,3,nan,1,0
300,1,20,0,3,nan,1,0
301,1,21,0,3,nan,1,0
302,0,21,0,3,nan,0,0
303,1,21,0,3,nan,1,0
304,1,21,0,3,nan,1,0
305,1,21,0,3,nan,1,0
306,1,21,0,3,nan,1,0
307,1,21,0,3,nan,1,0
308,1,20,0,4,nan,1,0
309,1,20,0,4,nan,1,0
310,1,21,0,3,nan,1,0
311,1,22,0,2,nan,1,0
312,1,22,0,2,nan,1,0
313,1,21,0,3,nan,1,0
314,1,21,0,3,nan,1,0
315,0,20,0,4,nan,0,0
316,1,20,0,4,nan,1,0
317,1,21,0,3,nan,1,0
318,1,21,0,3,nan,1,0
319,1,21,0,3,nan,1,0
320,1,21,0,3,nan,1,0
321,1,22,0,2,nan,1,0
322,1,20,0,4,nan,1,0
323,1,22,0,3,nan,1,0
324,1,22,0,3,nan,1,0
325,1,22,0,3,nan,1,0
326,1,21,0,3,nan,1,0
327,1,21,0,3,nan,1,0
328,0,21,0,3,nan,0,0
329,1,21,0,3,nan,1,0
330,1,21,0,3,nan,1,0
331,0,21,0,3,nan,0,0
332,0,20,0,3,nan,0,0
333,1,21,0,3,nan,1,0
334,1,21,0,3,nan,1,0
335,1,21,0,3,nan,1,0
336,1,20,0,4,nan,1,0
337,1,20,0,4,nan,1,0
338,1,21,0,3,nan,1,0
339,1,21,0,3,nan,1,0
340,1,21,0,3,nan,1,0
341,1,21,0,3,nan,1,0
342,1,20,0,3,nan,1,0
343,0,20,0,3,nan,0,0
